"Marka","Model","Motor","Araç Paketi","Model Yıl","Yakıt","Vites","Araç Durumu","Araç Kilometresi","Kasa Tipi","Motor Gücü","Motor Hacmi","Çekiş","Renk","Garanti","Ağır Hasar Kayıtlı","Plaka / Uyruk","Kimden","Takas","Fiyat"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Evet","1058500"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Sahibinden","Evet","1098500"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin & LPG","Otomatik","İkinci El","3500","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","1130000"
"Hyundai","Bayon","1.4 MPI","Elite","2021","Benzin","Otomatik","İkinci El","6075","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Galeriden","Evet","996000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1020","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Hayır","952000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Otomatik","İkinci El","21000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Bej","Evet","Hayır","TR","Galeriden","Evet","892500"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","6700","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Bej","Evet","Hayır","TR","Sahibinden","Evet","970000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Manuel","İkinci El","7000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Hayır","820000"
"Hyundai","Bayon","1.4 MPI","Elite","2021","Benzin & LPG","Otomatik","İkinci El","44145","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Mavi","Evet","Hayır","TR","Galeriden","Hayır","1015000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","11250","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Hayır","Hayır","TR","Sahibinden","Hayır","999999"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1500","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Evet","970000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","6500","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Evet","1020000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","4600","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Sahibinden","Evet","920000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","7800","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","971000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Otomatik","İkinci El","6400","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Hayır","891500"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Evet","938000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Otomatik","İkinci El","16000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Evet","897500"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","2000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Evet","960000"
"Hyundai","Bayon","1.4 MPI","Style","2021","Benzin","Otomatik","İkinci El","14000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Hayır","925500"
"Hyundai","Bayon","1.4 MPI","Elite","2021","Benzin","Otomatik","İkinci El","10300","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Galeriden","Evet","967500"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Evet","955000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","6001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Galeriden","Hayır","995000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","8800","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Füme","Evet","Hayır","TR","Galeriden","Evet","1055000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","13000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gümüş Gri","Evet","Hayır","TR","Sahibinden","Hayır","995000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Hayır","957500"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","6050","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Evet","1020000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","10500","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Hayır","1060000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","6002","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Füme","Evet","Hayır","TR","Sahibinden","Evet","980000"
"Hyundai","Bayon","1.0 T-GDI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Bordo","Evet","Hayır","TR","Sahibinden","Evet","1010000"
"Hyundai","Bayon","1.0 T-GDI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Evet","1010000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Evet","939000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","6026","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Galeriden","Hayır","1075000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","3500","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Hayır","965000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","1500","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Sahibinden","Evet","955000"
"Hyundai","Bayon","1.0 T-GDI","Style","2022","Benzin","Otomatik","İkinci El","6246","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Evet","1039000"
"Hyundai","Bayon","1.0 T-GDI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","980000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","6020","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","1045000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","12000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Füme","Hayır","Hayır","TR","Galeriden","Evet","970000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Füme","Evet","Hayır","TR","Sahibinden","Hayır","998000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Mavi","Evet","Hayır","TR","Sahibinden","Hayır","975000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Hayır","949000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Evet","985000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","21000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Hayır","905000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Otomatik","İkinci El","6001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Galeriden","Evet","927500"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","7200","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","1050000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","1400","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Sahibinden","Hayır","980000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Evet","955000"
"Hyundai","Bayon","1.0 T-GDI","Style","2021","Benzin","Otomatik","İkinci El","35000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Hayır","978058"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Hayır","945000"
"Hyundai","Bayon","1.0 T-GDI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Hayır","1007000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Sahibinden","Evet","999000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","14700","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Lacivert","Evet","Hayır","TR","Sahibinden","Evet","1145000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Hayır","975000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1010","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","1000000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Evet","1005000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","1069000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","5288","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Sahibinden","Hayır","929000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Otomatik","İkinci El","10800","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Evet","871750"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Manuel","İkinci El","6005","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Galeriden","Evet","869500"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","17000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Galeriden","Evet","925000"
"Hyundai","Bayon","1.4 MPI","Style","2021","Benzin","Otomatik","İkinci El","33000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Füme","Evet","Hayır","TR","Sahibinden","Hayır","920000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Otomatik","İkinci El","7000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","895000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","6488","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Galeriden","Hayır","1000000"
"Hyundai","Bayon","1.4 MPI","Style","2021","Benzin","Otomatik","İkinci El","11572","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Gri","Evet","Hayır","TR","Galeriden","Hayır","905000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Hayır","1225000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Hayır","Hayır","TR","Sahibinden","Evet","960000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Otomatik","İkinci El","9500","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Hayır","Hayır","TR","Galeriden","Hayır","905000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Otomatik","İkinci El","20000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Galeriden","Evet","900000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","10100","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","1090000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Hayır","1050000"
"Hyundai","Bayon","1.4 MPI","Style","2022","Benzin","Otomatik","İkinci El","6001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Galeriden","Evet","942500"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Füme","Evet","Hayır","TR","Sahibinden","Hayır","1025000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","11800","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Sahibinden","Evet","1000000"
"Hyundai","Bayon","1.4 MPI","Elite","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Evet","1049000"
"Hyundai","Bayon","1.4 MPI","Elite","2022","Benzin","Otomatik","İkinci El","7000","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Yeşil","Evet","Hayır","TR","Galeriden","Evet","1010000"
"Hyundai","Bayon","1.4 MPI","Style","2023","Benzin","Otomatik","İkinci El","1001","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Beyaz","Evet","Hayır","TR","Sahibinden","Evet","948000"
"Hyundai","Bayon","1.4 MPI","Jump","2022","Benzin","Manuel","İkinci El","7300","SUV","200 hp'e kadar","1600 cm³’e kadar","4x2 (Önden Çekişli)","Kırmızı","Evet","Hayır","TR","Sahibinden","Hayır","795000"
